date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:19	70033/70033	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:35%20GMT	http://templatecycle.com/tshop/v-1.5/white/index-logged-in.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index-logged-in.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:19	63847/63847	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:15%20GMT	http://templatecycle.com/tshop/v-1.5/white/category-product-hover.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/category-product-hover.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:19	64393/64393	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:14%20GMT	http://templatecycle.com/tshop/v-1.5/white/category-list.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/category-list.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:20	41419/41419	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:03%20GMT	http://templatecycle.com/tshop/v-1.5/white/about-us-3.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/about-us-3.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:22	35215/35215	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:03%20GMT	http://templatecycle.com/tshop/v-1.5/white/about-us-2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/about-us-2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:22	35259/35259	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:05%20GMT	http://templatecycle.com/tshop/v-1.5/white/about-us.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/about-us.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:22	36680/36680	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:26%20GMT	http://templatecycle.com/tshop/v-1.5/white/contact-us.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/contact-us.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:22	60409/60409	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:16%20GMT	http://templatecycle.com/tshop/v-1.5/white/category-product-slide.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/category-product-slide.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:23	40494/40494	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:25%20GMT	http://templatecycle.com/tshop/v-1.5/white/contact-us-2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/contact-us-2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:23	39402/39402	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:08%20GMT	http://templatecycle.com/tshop/v-1.5/white/terms-conditions.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/terms-conditions.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:25	42471/42471	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:55%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style3.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style3.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:25	42512/42512	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:54%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:26	44047/44047	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:55%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style4.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style4.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:27	57080/57080	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:57%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-1.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-1.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:27	57385/57385	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:03%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:27	55724/55724	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:57%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:28	58117/58117	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:59%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-3.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-3.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:30	58113/58113	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:59%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-3-fadein.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-3-fadein.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:30	58549/58549	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:01%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-4.1-popup-video.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-4.1-popup-video.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:30	58156/58156	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:03%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-4.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-4.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:30	59785/59785	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:01%20GMT	http://templatecycle.com/tshop/v-1.5/white/product-details-style5-4.1-with-zoom.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/product-details-style5-4.1-with-zoom.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:31	41970/41970	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:21%20GMT	http://templatecycle.com/tshop/v-1.5/white/checkout-1.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/checkout-1.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:31	42191/42191	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:22%20GMT	http://templatecycle.com/tshop/v-1.5/white/checkout-2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/checkout-2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:32	40810/40810	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:23%20GMT	http://templatecycle.com/tshop/v-1.5/white/checkout-3.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/checkout-3.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:32	40857/40857	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:24%20GMT	http://templatecycle.com/tshop/v-1.5/white/checkout-4.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/checkout-4.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:32	38169/38169	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:25%20GMT	http://templatecycle.com/tshop/v-1.5/white/checkout-5.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/checkout-5.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:33	56269/56269	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:52%20GMT	http://templatecycle.com/tshop/v-1.5/white/one-page-checkout.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/one-page-checkout.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:33	34989/34989	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:07%20GMT	http://templatecycle.com/tshop/v-1.5/white/account.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/account.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:33	34899/34899	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:09%20GMT	http://templatecycle.com/tshop/v-1.5/white/thanks-for-order.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/thanks-for-order.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:33	37102/37102	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:50%20GMT	http://templatecycle.com/tshop/v-1.5/white/my-address.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/my-address.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:34	43341/43341	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:09%20GMT	http://templatecycle.com/tshop/v-1.5/white/user-information.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/user-information.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:34	37573/37573	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:11%20GMT	http://templatecycle.com/tshop/v-1.5/white/wishlist.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/wishlist.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:34	38755/38755	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:52%20GMT	http://templatecycle.com/tshop/v-1.5/white/order-list.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/order-list.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:36	9695/9695	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:06%20GMT	http://templatecycle.com/tshop/v-1.5/white/single-product-modal.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/single-product-modal.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
